noteId,Topic,Topic_Keywords
1753682669227921560,-1,-1_amp_deutschland_afd_handeln
1755161127770525717,4,4_politisch_polizei_politiker_politik
1773483860463956386,-1,-1_amp_deutschland_afd_handeln
1734886473873175020,-1,-1_amp_deutschland_afd_handeln
1773295232471216592,0,0_post_kommentar_anmerkung_meinung
1797879697860067539,1,1_israel_hamas_gaza_israelisch
1861001000665887003,4,4_politisch_polizei_politiker_politik
1864335021756358926,-1,-1_amp_deutschland_afd_handeln
1688129050085106175,5,5_covid_impfung_corona_studie
1688217419771228468,-1,-1_amp_deutschland_afd_handeln
1688218620935979502,-1,-1_amp_deutschland_afd_handeln
1690271085919371632,-1,-1_amp_deutschland_afd_handeln
1693269253590278350,12,12_migration_migrant_migrationshintergrund_illegal
1695469295654838691,8,8_foto_bild_fake_bergamo
1670494753564049408,-1,-1_amp_deutschland_afd_handeln
1731639526559195193,-1,-1_amp_deutschland_afd_handeln
1804840816789139883,0,0_post_kommentar_anmerkung_meinung
1818556815530926429,-1,-1_amp_deutschland_afd_handeln
1808950316114849812,0,0_post_kommentar_anmerkung_meinung
1810377635584995696,0,0_post_kommentar_anmerkung_meinung
1669040446754914307,2,2_russland_ukraine_ukrain_russisch
1669703672589082627,-1,-1_amp_deutschland_afd_handeln
1669707912619388929,5,5_covid_impfung_corona_studie
1673140881103237124,5,5_covid_impfung_corona_studie
1673142082033143812,5,5_covid_impfung_corona_studie
1685038836642922496,-1,-1_amp_deutschland_afd_handeln
1685039224645369856,-1,-1_amp_deutschland_afd_handeln
1696443258937778464,-1,-1_amp_deutschland_afd_handeln
1703673297102135512,-1,-1_amp_deutschland_afd_handeln
1729087146630234146,10,10_satire_account_offensichtlich_handeln
1768801967667560667,-1,-1_amp_deutschland_afd_handeln
1786847861973319990,-1,-1_amp_deutschland_afd_handeln
1818126233147773086,-1,-1_amp_deutschland_afd_handeln
1838390091086983667,-1,-1_amp_deutschland_afd_handeln
1855184573677609044,0,0_post_kommentar_anmerkung_meinung
1775135617162117378,-1,-1_amp_deutschland_afd_handeln
1800920153464394211,3,3_video_zeigen_sehen_videos
1803018389096398959,-1,-1_amp_deutschland_afd_handeln
1803820163239903489,-1,-1_amp_deutschland_afd_handeln
1820478869826146513,5,5_covid_impfung_corona_studie
1821507105120989393,3,3_video_zeigen_sehen_videos
1770030181173854210,14,14_euro_milliarde_million_kosten
1745793828643029395,-1,-1_amp_deutschland_afd_handeln
1754953448192102787,10,10_satire_account_offensichtlich_handeln
1777688462444966047,5,5_covid_impfung_corona_studie
1786056046294749190,-1,-1_amp_deutschland_afd_handeln
1790837898377400417,-1,-1_amp_deutschland_afd_handeln
1842995220004192497,-1,-1_amp_deutschland_afd_handeln
1783823837764665668,2,2_russland_ukraine_ukrain_russisch
1787434619492614307,1,1_israel_hamas_gaza_israelisch
1790978810319458549,-1,-1_amp_deutschland_afd_handeln
1828412037866590491,2,2_russland_ukraine_ukrain_russisch
1815989009799164222,8,8_foto_bild_fake_bergamo
1710160547830792270,-1,-1_amp_deutschland_afd_handeln
1714653367132189069,1,1_israel_hamas_gaza_israelisch
1717160771518394547,12,12_migration_migrant_migrationshintergrund_illegal
1718797937201795292,-1,-1_amp_deutschland_afd_handeln
1767544302379380774,7,7_community_notes_tweet_note
1769720277460537576,-1,-1_amp_deutschland_afd_handeln
1818268670436483231,16,16_joke_don_that_mem
1861737332694512013,8,8_foto_bild_fake_bergamo
1713579116560003243,1,1_israel_hamas_gaza_israelisch
1713582597241032875,3,3_video_zeigen_sehen_videos
1684439070972301313,-1,-1_amp_deutschland_afd_handeln
1684487875671330817,-1,-1_amp_deutschland_afd_handeln
1687734987540287542,-1,-1_amp_deutschland_afd_handeln
1687743711516467515,10,10_satire_account_offensichtlich_handeln
1688108199759565006,-1,-1_amp_deutschland_afd_handeln
1849194089511530732,1,1_israel_hamas_gaza_israelisch
1760431561475060144,16,16_joke_don_that_mem
1686635523987603457,8,8_foto_bild_fake_bergamo
1686645298574118912,-1,-1_amp_deutschland_afd_handeln
1686645788133208065,-1,-1_amp_deutschland_afd_handeln
1720415806368964681,8,8_foto_bild_fake_bergamo
1749079039954846021,2,2_russland_ukraine_ukrain_russisch
1788707136127615096,3,3_video_zeigen_sehen_videos
1813538228399452380,-1,-1_amp_deutschland_afd_handeln
1828502346202296507,12,12_migration_migrant_migrationshintergrund_illegal
1735818189290750409,3,3_video_zeigen_sehen_videos
1732746652996235352,6,6_internet_art_stgb_grundgesetz
1673625808953303041,-1,-1_amp_deutschland_afd_handeln
1678845112225259529,-1,-1_amp_deutschland_afd_handeln
1684996772450410496,-1,-1_amp_deutschland_afd_handeln
1689927582593012179,-1,-1_amp_deutschland_afd_handeln
1750133750199935245,9,9_frau_khelif_biologisch_gender
1824714262436024461,-1,-1_amp_deutschland_afd_handeln
1703350000229425164,-1,-1_amp_deutschland_afd_handeln
1712161869010509986,1,1_israel_hamas_gaza_israelisch
1731034118236893570,-1,-1_amp_deutschland_afd_handeln
1732639561547665810,-1,-1_amp_deutschland_afd_handeln
1775380419141075161,-1,-1_amp_deutschland_afd_handeln
1811444721643901340,-1,-1_amp_deutschland_afd_handeln
1760260246646190128,16,16_joke_don_that_mem
1815506219265655015,-1,-1_amp_deutschland_afd_handeln
1881050089495613658,15,15_climate_temperaturen_global_change
1749175591381680469,-1,-1_amp_deutschland_afd_handeln
1783014846826524924,-1,-1_amp_deutschland_afd_handeln
1765696953394811100,-1,-1_amp_deutschland_afd_handeln
1765722431954587725,6,6_internet_art_stgb_grundgesetz
1814113851257856093,1,1_israel_hamas_gaza_israelisch
1823284159227245024,-1,-1_amp_deutschland_afd_handeln
1823284563113636181,-1,-1_amp_deutschland_afd_handeln
1823285186882101681,-1,-1_amp_deutschland_afd_handeln
1823287510740459987,-1,-1_amp_deutschland_afd_handeln
1831279625365786840,-1,-1_amp_deutschland_afd_handeln
1876396444556603901,1,1_israel_hamas_gaza_israelisch
1876566826299105644,1,1_israel_hamas_gaza_israelisch
1881629810121670962,-1,-1_amp_deutschland_afd_handeln
1671557271929618447,10,10_satire_account_offensichtlich_handeln
1774371464453488788,-1,-1_amp_deutschland_afd_handeln
1793511808008868337,1,1_israel_hamas_gaza_israelisch
1869952492525469868,-1,-1_amp_deutschland_afd_handeln
1869952613678031266,-1,-1_amp_deutschland_afd_handeln
1869953572047131122,-1,-1_amp_deutschland_afd_handeln
1802367346687815990,-1,-1_amp_deutschland_afd_handeln
1875192829229539459,-1,-1_amp_deutschland_afd_handeln
1670381972256956419,-1,-1_amp_deutschland_afd_handeln
1671972799710109706,-1,-1_amp_deutschland_afd_handeln
1676191612425183233,4,4_politisch_polizei_politiker_politik
1679790168578969601,-1,-1_amp_deutschland_afd_handeln
1682459176797175810,3,3_video_zeigen_sehen_videos
1707332580394066347,12,12_migration_migrant_migrationshintergrund_illegal
1715554574881198162,12,12_migration_migrant_migrationshintergrund_illegal
1729633693340205135,4,4_politisch_polizei_politiker_politik
1734532479451639906,-1,-1_amp_deutschland_afd_handeln
1759639618121502964,-1,-1_amp_deutschland_afd_handeln
1764258862549418257,3,3_video_zeigen_sehen_videos
1799778433469145309,12,12_migration_migrant_migrationshintergrund_illegal
1819082262295859543,9,9_frau_khelif_biologisch_gender
1809096629355532432,9,9_frau_khelif_biologisch_gender
1811721556030009357,-1,-1_amp_deutschland_afd_handeln
1815960958344273975,-1,-1_amp_deutschland_afd_handeln
1836002845125935243,-1,-1_amp_deutschland_afd_handeln
1752091751253160327,16,16_joke_don_that_mem
1714187660825182587,-1,-1_amp_deutschland_afd_handeln
1699162097639178577,-1,-1_amp_deutschland_afd_handeln
1825618625572520023,-1,-1_amp_deutschland_afd_handeln
1732068218401968588,5,5_covid_impfung_corona_studie
1732408996206616976,5,5_covid_impfung_corona_studie
1786387119805551046,-1,-1_amp_deutschland_afd_handeln
1844314448170774921,-1,-1_amp_deutschland_afd_handeln
1892257643655217619,3,3_video_zeigen_sehen_videos
1692188430732529804,8,8_foto_bild_fake_bergamo
1743205581098283278,-1,-1_amp_deutschland_afd_handeln
1812164669701869888,-1,-1_amp_deutschland_afd_handeln
1830976419435790824,0,0_post_kommentar_anmerkung_meinung
1810585890374533348,5,5_covid_impfung_corona_studie
1844671367632892161,2,2_russland_ukraine_ukrain_russisch
1843317295407354024,-1,-1_amp_deutschland_afd_handeln
1776180034538967394,-1,-1_amp_deutschland_afd_handeln
1846141890724307008,14,14_euro_milliarde_million_kosten
1860631387532886327,-1,-1_amp_deutschland_afd_handeln
1869408480723108288,-1,-1_amp_deutschland_afd_handeln
1877755388956668123,-1,-1_amp_deutschland_afd_handeln
1885335890786185581,0,0_post_kommentar_anmerkung_meinung
1741693294558450100,-1,-1_amp_deutschland_afd_handeln
1804653166144762364,7,7_community_notes_tweet_note
1840693903487365330,-1,-1_amp_deutschland_afd_handeln
1854283140417962398,-1,-1_amp_deutschland_afd_handeln
1870441210659115138,12,12_migration_migrant_migrationshintergrund_illegal
1872063163702591713,8,8_foto_bild_fake_bergamo
1872537398166626585,0,0_post_kommentar_anmerkung_meinung
1878783858205737005,-1,-1_amp_deutschland_afd_handeln
1884892814472806556,-1,-1_amp_deutschland_afd_handeln
1759181522177757599,-1,-1_amp_deutschland_afd_handeln
1759185018843275717,-1,-1_amp_deutschland_afd_handeln
1765512356048572841,-1,-1_amp_deutschland_afd_handeln
1769280246996418901,-1,-1_amp_deutschland_afd_handeln
1792284055393706272,-1,-1_amp_deutschland_afd_handeln
1880571589437067489,-1,-1_amp_deutschland_afd_handeln
1707733566983946485,0,0_post_kommentar_anmerkung_meinung
1711837084841853124,1,1_israel_hamas_gaza_israelisch
1780669649677369578,0,0_post_kommentar_anmerkung_meinung
1819867816952025232,13,13_land_landtag_afd_geschaeftsordnung
1839319814998994997,3,3_video_zeigen_sehen_videos
1887064192508703154,-1,-1_amp_deutschland_afd_handeln
1783212848539185424,-1,-1_amp_deutschland_afd_handeln
1787383275813507488,4,4_politisch_polizei_politiker_politik
1862925758005703059,3,3_video_zeigen_sehen_videos
1883927340721291718,-1,-1_amp_deutschland_afd_handeln
1748734430145896888,-1,-1_amp_deutschland_afd_handeln
1886329388435718465,-1,-1_amp_deutschland_afd_handeln
1739564062583767241,-1,-1_amp_deutschland_afd_handeln
1756279457705263319,0,0_post_kommentar_anmerkung_meinung
1766428967832043662,-1,-1_amp_deutschland_afd_handeln
1699688217535000610,0,0_post_kommentar_anmerkung_meinung
1831450760728445253,-1,-1_amp_deutschland_afd_handeln
1833384291201372400,12,12_migration_migrant_migrationshintergrund_illegal
1835912990689825023,3,3_video_zeigen_sehen_videos
1844768060655251582,-1,-1_amp_deutschland_afd_handeln
1802729300908527812,2,2_russland_ukraine_ukrain_russisch
1827279535252832487,-1,-1_amp_deutschland_afd_handeln
1685315851161944064,4,4_politisch_polizei_politiker_politik
1723474822942884161,-1,-1_amp_deutschland_afd_handeln
1747183743515705386,13,13_land_landtag_afd_geschaeftsordnung
1779952435970081159,3,3_video_zeigen_sehen_videos
1783619762829869560,10,10_satire_account_offensichtlich_handeln
1784231851466400056,2,2_russland_ukraine_ukrain_russisch
1836716170491072535,-1,-1_amp_deutschland_afd_handeln
1849940547542110213,-1,-1_amp_deutschland_afd_handeln
1849946666884911379,-1,-1_amp_deutschland_afd_handeln
1850997744460046636,11,11_auto_tesla_verbrenner_fahrzeug
1854273106690417063,0,0_post_kommentar_anmerkung_meinung
1870220957153145166,-1,-1_amp_deutschland_afd_handeln
1875580840672997589,-1,-1_amp_deutschland_afd_handeln
1870214880529379465,-1,-1_amp_deutschland_afd_handeln
1742582618799882443,-1,-1_amp_deutschland_afd_handeln
1854844701981225093,-1,-1_amp_deutschland_afd_handeln
1892578188728942751,-1,-1_amp_deutschland_afd_handeln
1891912799238095300,12,12_migration_migrant_migrationshintergrund_illegal
1741419403588104656,2,2_russland_ukraine_ukrain_russisch
1792477169471414701,2,2_russland_ukraine_ukrain_russisch
1830024482464952671,-1,-1_amp_deutschland_afd_handeln
1673964770309832709,3,3_video_zeigen_sehen_videos
1674178514470174733,9,9_frau_khelif_biologisch_gender
1674513954662502403,4,4_politisch_polizei_politiker_politik
1674647171902107648,0,0_post_kommentar_anmerkung_meinung
1674647359358136320,0,0_post_kommentar_anmerkung_meinung
1674827367569670164,2,2_russland_ukraine_ukrain_russisch
1674866510097965070,0,0_post_kommentar_anmerkung_meinung
1675272769917861890,4,4_politisch_polizei_politiker_politik
1677268528578142209,-1,-1_amp_deutschland_afd_handeln
1677304492457353216,-1,-1_amp_deutschland_afd_handeln
1679495452645834753,0,0_post_kommentar_anmerkung_meinung
1679926363883487241,-1,-1_amp_deutschland_afd_handeln
1680010438778449922,10,10_satire_account_offensichtlich_handeln
1680043460093435904,6,6_internet_art_stgb_grundgesetz
1680043789014925312,6,6_internet_art_stgb_grundgesetz
1681643244411662336,5,5_covid_impfung_corona_studie
1682100411782635520,-1,-1_amp_deutschland_afd_handeln
1684251236290244608,-1,-1_amp_deutschland_afd_handeln
1685021919500754944,3,3_video_zeigen_sehen_videos
1685026600977375233,15,15_climate_temperaturen_global_change
1685322962960793600,-1,-1_amp_deutschland_afd_handeln
1685399632136769536,10,10_satire_account_offensichtlich_handeln
1685399867152019456,10,10_satire_account_offensichtlich_handeln
1689909562218864707,-1,-1_amp_deutschland_afd_handeln
1690644497485434978,-1,-1_amp_deutschland_afd_handeln
1692492753655955747,5,5_covid_impfung_corona_studie
1692501058419871970,5,5_covid_impfung_corona_studie
1692501331515171269,5,5_covid_impfung_corona_studie
1692503162605682862,5,5_covid_impfung_corona_studie
1692503459277279563,5,5_covid_impfung_corona_studie
1692740658061095224,-1,-1_amp_deutschland_afd_handeln
1693555800172646761,7,7_community_notes_tweet_note
1693747531337945249,2,2_russland_ukraine_ukrain_russisch
1694267039513284944,-1,-1_amp_deutschland_afd_handeln
1695058916147605811,-1,-1_amp_deutschland_afd_handeln
1695381898850086933,7,7_community_notes_tweet_note
1696544990418047399,-1,-1_amp_deutschland_afd_handeln
1696545374528233932,-1,-1_amp_deutschland_afd_handeln
1697227884849492030,5,5_covid_impfung_corona_studie
1697995725458542717,-1,-1_amp_deutschland_afd_handeln
1699463251514323212,-1,-1_amp_deutschland_afd_handeln
1721180222848987197,3,3_video_zeigen_sehen_videos
1735635144910725282,1,1_israel_hamas_gaza_israelisch
1736795033712415217,1,1_israel_hamas_gaza_israelisch
1736799415094915238,1,1_israel_hamas_gaza_israelisch
1736801147849965900,1,1_israel_hamas_gaza_israelisch
1736802619824214467,1,1_israel_hamas_gaza_israelisch
1736860518529302741,1,1_israel_hamas_gaza_israelisch
1737538105970721107,8,8_foto_bild_fake_bergamo
